img_url	fr	en	split
1053804096_ad278b25f1.jpg	एक लड़की समुद्र के पानी में खेल रही है ||| एक बच्ची समुद्र के पानी में खेल रही है ||| बच्चा खेल रहा है ||| एक लड़की पानी में खेल रही है	A girl in pigtails splashes in the shallow water . ||| A girl with pigtails plays in the water . ||| a girl with pigtails is playing in the ocean by the beach . ||| A girls plays in the surf . ||| A young girl in pigtails plays in the water .	train
1082379191_ec1e53f996.jpg	कपल धुप में बैठे है ||| एक नदी के किनारे पर आराम करने वाले युगल ||| एक आदमी और एक औरत तालाब के किनारे बैठ कर बात कर रहे हे ||| लोग धूप सेक रहे है ||| एक लड़का और एक लड़की साथ बैठे हुए है	A shirtless man and a woman sitting on a dock . ||| A man and a woman sitting on a dock . ||| A man and a woman are sitting on a dock together . ||| A lady and a man with no shirt sit on a dock . ||| A man and woman sitting on a deck next to a lake .	train
1096165011_cc5eb16aa6.jpg	बच्चा खेल रहा है ||| एक छोटा बच्चा जलतरण कर रहा है ||| एक बच्चा पानी के अंदर से हँस रहा है ||| एक बच्चा मुस्कुराते हुए पानी के नीचे ||| एक बच्चा पानी में नहा रहा है	A smiling boy swims underwater in a pool . ||| The boys smiles underwater at the pool . ||| a boy smiles underwater . ||| A red-headed boy swimming underwater . ||| A small boy swimming underwater	train
1117972841_2b9261f95f.jpg	कुत्ता दौड़ रहा हैm ||| एक कुत्ता रेगिस्तान में बैठा है ||| कुत्ता रेत में दौड़ कागा रहा है ||| एक कुत्ता रेत में खेल रहा ही ||| कुत्ता खेल रहा है	A brown dog is running in the sand . ||| A dog running fast in the sand . ||| A brown dog playing in the sand . ||| A dog is standing in the sand . ||| A brown dog plays at the beach .	train
1119463452_69d4eecd08.jpg	एक लड़की पानी में खेल रही है ||| एक बच्ची पानी में हस्ते हुए तैर रही है ||| बच्चा खेल रहा है ||| एक बच्ची स्विमिंग पूल में खेल रही है ||| लड़की पानी मे तैर रही है	A girl swimming in a pool . ||| A little girl swimming in a pool . ||| A little girl in a pink bathing suit swimming in a pool . ||| A girl in a pink swimsuit in a pool ||| Smiling little girl swimming in outdoor pool .	train
1130401779_8c30182e3e.jpg	कुत्ते पानी में रेस लगा रहे है ||| कुत्ते पानी में दौड़ रहे है ||| दो कुत्ते पानी में जोर से दौड़े जा रहे है ||| दो कुत्ते पानी में दौड़ लगा रहे है ||| दो भूरे कुत्ते जलाशय में दौड़ रहे हैं	Two brown dogs are creating large splashes as they run in a river . ||| Two brown dogs running through water . ||| Two brown dogs runs through the water . ||| Two dogs splash through the water . ||| Two brown dogs in the water .	train
1131932671_c8d17751b3.jpg	बच्चा खेल रहा है ||| एक बच्चा बिस्तर पर छलांग लगा रहा है ||| एक बच्चा बिस्तर के ऊपर कूद रहा है ||| एक बच्चा बिस्तर पेर कूद रहा है ||| बच्चा बिस्तर पर गुनगुना रहा है।	A small child is jumping on a bed . ||| A boy jumps from one bed to another . ||| A boy jumped up from the green bed . ||| The boy in blue shorts is bouncing on the bed . ||| A boy is jumping on a bed .	train
1148238960_f8cacec2fc.jpg	दो लड़के ट्रैफिक सिगनल के पास रुके हुए हैं ||| तीन साइकल पर सवार लोग सड़क पर खड़े है ||| दो लड़के साईकल चलते हुए सड़क से गुजर रहे है ||| कुछ लोग साइकिल के साथ एक ट्रैफिक पोस्ट पर खड़े हैं ||| तीन लड़के साइकिल लिए सिग्नल की बत्ती हरी होने का इंतजार कर रहे हे	three bikers stop in town . ||| People waiting at a light on bikes . ||| Bicyclists are standing at an intersection . ||| Bicyclists waiting at an intersection . ||| People on bicycles waiting at an intersection .	train
136644343_0e2b423829.jpg	बच्चा झूला झूलता है ||| एक बच्चा झूले पर खेल रहा है ||| बच्चा खेल रहा है ||| एक बच्चा टायर पर बैठा है	A boy swinging on a tire-swing . ||| A small boy in a horizontal tire swing . ||| A boy rides on a tire swing . ||| Young boy swinging on a tire swing . ||| Young boy smiles at the camera from the tire swing .	train
1384292980_4022a7520c.jpg	दो लड़कियाँ सड़क पर चल रही है ||| गली में घूमती दो औरतें. ||| दो लडकियाँ जेब में हाथ डाल कर जा रही है ||| दो लकड़ियाँ रास्ते मे चलते हुए ||| दो लड़किया हाथ जेब में डाले हुए कहीं जा रहीं है	Two asian females go walking . ||| Two women walking . ||| The girls walk down the street . ||| Two young women walk past a door in a white wall . ||| Two young women walking .	test
1402641725_5e027ecaa7.jpg	अपने बच्चों की ज़िन्दगी आसान बना कर उन्हें अक्षम नहीं बनाइये। ||| कुछ बच्चे रेत में फिसल रहे हैं ||| चार बच्चे रेत पर खेल रहे हैं | ||| तीन चार बच्चे रेत की ढलान पे फिसल रहे है ||| दो महिला और दो बच्चे रेत में फिसल रहे है	Four children playing on a sand dune . ||| Four children are playing on a hill of sand . ||| Four kids are sliding down a mountain of sand . ||| Four kids rolling and sliding down a sand dune . ||| Four children playing in the sand at a beach .	train
1470132731_fa416b7504.jpg	पानी में तैरता कुत्ता. ||| पानी के अंदर चलते हुए एक काला कुत्ता। ||| काले कलर का कुता पानी में छलांग लगता हुआ दिखाया गया है ||| तेज गती में पानी मैं दौड़ता हुआ कुत्ता ||| एक कला कुत्ता पानी में भाग रहा है	A black dog runs through the water . ||| A black dog running through water . ||| A black dog running into the water . ||| A black dog splashes through water . ||| A black dog is running in the water .	train
1572286502_64e5c4b920.jpg	एक छोटी बच्ची रस्सी से बनी छत पे छड़ी हुई है ||| बच्चा ऊपर चड़ रहा है ||| बच्चा खेल रहा है ||| बच्चा बगीचे में खेल रहा है.	A young child climbs on a rope net . ||| A small child climbing on an elevated net ||| A blonde child climbing across a net . ||| A girls climbs on a jungle gym . ||| A child is playing at a park .	train
1659358133_95cd1027bd.jpg	कुत्ता लकड़ी के तख्त पर खड़ा है. ||| एक कुत्ता कटे हुए पेड़ के ऊपर खड़ा है ||| कुत्ता लकड़ी को सूंघ  रहा है ||| एक कुत्ता लकड़ी के पेड़ को सूंघ रहा है	The dog is standing outside on a tree stump . ||| A dog sniffs a tree stump . ||| A dog sniffs a newly cut tree trunk . ||| a brown dog sniffs a tree stump . ||| Dog sniffing recently cut tree stump .	test
1662261486_db967930de.jpg	कुत्ता कूद रहा है. ||| एक कुत्ता टायर में से छलांग लगा रहा है ||| एक कुत्ता एक लटके हुए सफेद पहिये में से कूद रहा है ||| रिंग के बीच एक कुत्ता कूद रहा है ||| कुत्ता खेल रहा है	A dog jumping through a black and white hoop . ||| A brown and white dog jumping through a black and white hoop . ||| A black and white dog is jumping through a black and white hoop . ||| A dog jumping through a ring . ||| A black and white dog jumps through a black and white hoop .	test
1685990174_09c4fb7df8.jpg	खूभ सारे लोग एक पार्क में खेल रहे है ||| बच्चे घासिले जमीन में दौड़ रहे हैं | ||| बच्चा खेल रहा है ||| कुछ बच्चे पार्क में दौड़ लगा रहे है ||| बच्चे घास में दौड़ रहे है	A bunch of kids run on a school play field . ||| Kids play soccer on a field . ||| A group of children in a field . ||| A group of children running in the grass . ||| Kids running in the field .	train
171488318_fb26af58e2.jpg	एक दरार पड़ी हुई सुखी ज़मीं है और वह एक कुत्ता खड़ा है ||| कुत्ता दलदल में से बाहर आया ||| सूखे हुए दलदल के किनारे एक बालो वाला जबरीला कुत्ता है ||| सुखी दरार पड़ी जमीन पे एक कुत्ता खड़ा है ||| एक कुत्ता चल रहा है	A dog is walking along some dry cracked earth . ||| A dog walks across the rocky ground . ||| A dog walking on mud flats . ||| A dog walking along a cracked and ashen surface . ||| A dog walks through some mud .	train
172092464_d9eb4f4f2f.jpg	आदमी नदी पर स्केटिंग कर रहा है ||| एक आदमी पानी में करतब दिखा रहा है ||| एक लड़का पानी के ऊपर रस्सी को पकड़ कर सर्फिंग कर रहा है ||| लड़का वॉटर स्की कर रहा है. ||| एक आदमी पानी मे करतब दिखा रहा है	a man wakeboards on a lake . ||| The boy is wakeboarding on the lake . ||| Blond boy waterskiing . ||| A guy waterskiing behind a boat . ||| A young man is wakeboarding on a body of water .	train
17273391_55cfc7d3d4.jpg	आदमी नदी के किनारे खड़ा है। ||| एक पेड़ के पास एक आदमी खड़ा है ||| एक नदी में मछली पकड़ता आदमी ||| एक आदमी जलाशय में मछली पकड़ रहे हैं ||| एक आदमी एक पेड़ के नीचे तालाब को देखते हुए खड़ा है	A man fishes under a large tree . ||| A man fishes by a tree in the morning mist . ||| A man fishing near a large tree . ||| A man is fishing in a foggy lake . ||| A fisherman fishes at the bank of a foggy river .	train
1732217138_aa0199ef87.jpg	एक युगल रात के समय में एक बेंच पर बैठा है। ||| लड़कियां कुछ बात कर रही हैं ||| दो महिलाएं एक बेंच पर बैठी हुई है। ||| एक व्यक्ति बोतल को पकड़ता है ||| दो व्यक्ति एक मेज पर बैठे हुए	The couple eat their meal outside . ||| Two people with dreadlocks . ||| Two people with dreadlocks sit on a wooden bench . ||| Two people sitting , facing away , with dreadlocks . ||| two people sit on a bench .	train
1770036088_08abe4f6e9.jpg	बिस्तर पर मस्ती करती माँ और बेटी। ||| बिस्तर मे एक बच्चे के साथ हँसती हुई एक महिला ||| एक भव्य महिला और एक बच्चा एक बिस्तर में फोटो के लिए प्रस्तुत कर रहे हैं। ||| माँ और बेटा मुस्कुराते हुए ||| एक मां अपने बच्चे से प्यार कर रही है।	A woman and a small child laying in bed . ||| Two people are in bed . ||| A man and a girl in bed . ||| A parent and child are in and embrace in bed . ||| The woman is laying in bed with a young girl .	test
1776981714_5b224d0f7a.jpg	दो लड़कियाँ सड़क पर चल रही है ||| लोग चल रहे है ||| दो लड़किया सड़क के किनारे चल रही है ||| दो लोग जेब में हाथ डाल बाटे करते पगडण्डी पर चलरहे हे ||| दो लड़कियाँ सड़क पेर चल रही है	Two women walking down the street ||| Two girls are walking along the street and talking . ||| Two women walk down a street . ||| two women walk down the street . ||| two Asian women walking in front of a green door	train
1797507760_384744fb34.jpg	चार आदमी बिना शर्ट पहने ऊपर चल रहे है ||| खुभ सरे लोग एक पहाड़ पर चढ़ रहे है ||| लड़के पहाड़ी पर चढ़ रहे है. ||| लोग ट्रैकिंग कर रहे है ||| चार आदमी पहाड़ पर चढ़ रहे हैं	Shirtless men hike through a canyon . ||| Four shirtless men hike up a canyon . ||| Four shirtless men are hiking up a canyon . ||| The hikers are climbing up the mountains . ||| Topless men walking up a rocky path .	train
1813777902_07d1d4b00c.jpg	ek bacha pirate costume pehene bhag raha hai ||| एक लड़के की मस्ती ||| एक बच्चा समुंद्री डाकू की dress पहने हस्ते हुए दौड़ रहा है। ||| यह एक खेलता हुआ छोटा बच्चा है जिसका चेहरा रंग कर के एक बड़े इंसान जैसा कर दिया गया है । ||| एक बच्चा खेल रहा है।	A child dressed like a pirate smiles . ||| A young boy dressed as a pirate and running . ||| The boys enjoys his pirate costume . ||| a boy dressed as a pirate smiles largley . ||| A boy with a skeleton on his shirt laughs .	train
186890605_ddff5b694e.jpg	पानी में रस्सी से छलांग लगता हुआ आदमी ||| एक आदमी पानी के ऊपर लटक रहा है ||| एक व्यक्ति पानी में छलांग लगा रहा है। ||| रोप पर पानी के ऊपर झूलता एक आदमी ||| व्यक्ति तालाब मै कुदता है	A man is rope-swinging off a tree into a lake . ||| A man is swinging on a rope swing into a lake . ||| A guy in swimming trunks flying on a rope swing above a lake . ||| A person uses a rope swing over the water . ||| There is a man swinging off a rope swing into a lake .	train
1932161768_996eadac87.jpg	एक कुत्ता लकड़ी के पास कुछ सुन रहा है। ||| कुत्ता बगीचे मैं सो रहा है. ||| एक कुत्ता लकङी लगे अवरोध को पार करने की कोशिश कर रहा है ||| एक कुत्ते का चेहरा इतना उदास लग रहा है ||| इस चित्र में कुत्ता खेल रहा है।	A white terrior is jumping over a log . ||| A small white dog with a blue collar is climbing over a large log . ||| a small dog steps onto a log . ||| A small white dog climbs over a log . ||| A white dog jumps over a log outside .	train
1957371533_62bc720bac.jpg	एक काला कुत्ता उसके शरीर से पानी को हिला रहा है ||| पानी में भीगा एक चितकबरा झबरीला कुत्ता अपने आपको झाड़ते हुए| ||| गीला कुत्ता शरीर से पानी को हिला रहा है। ||| एक कुत्ता खेल रहा है। ||| कुत्ता पानी को झाड़ता है	A black and white dog shakes water off itself . ||| Black and white dog shaking its wet head . ||| A black and white dog shakes itself to get the water off ||| Wet black and white dog with black nose shaking off water . ||| A dog shaking water off .	train
2054869561_ff723e9eab.jpg	कुत्ता मैदान में खेल रहा है। ||| एक कुत्ता  frisbee पकड़ने की कोशिश कर रहा है ||| एक कुत्ता frisbee पकड़ने के लिए दौड़ रहा है ||| एक कुत्ता फलाइग डिस्क से खेल रहा है ||| खेल के मैदान में कुत्ता	A black and white dog is chasing a ping Frisbee . ||| A black and white dog is running with a pink Frisbee next to him ||| A black and white dog is looking at a pink Frisbee on a court . ||| A black and white dog chases a pink Frisbee . ||| A dog runs to catch a Frisbee on AstroTurf .	test
2056041678_d6b5b39b26.jpg	एक आदमी बर्फीली जगह पर खड़ा है ||| पहाड़ों पर बर्फ़ जमी है। ||| एक पर्वतारोही बर्फीले पहाड़ो के बीच बैठा है ||| एक आदमी बर्फ़ पर चट्टनो पर समान ले कर बैठा है ||| आदमी बर्फ की पहाड़ी पर बैठा है.	A man descends a snowy mountain . ||| A person is climbing a snowy mountain . ||| The person is in the snowy mountains . ||| A lone hiker is sitting on a rock on a snowy mountain trail . ||| Someone hiking in the mountains .	train
2058091220_2087270068.jpg	एक व्यक्ति पैराग्लाइडिंग कर रहा है। ||| एक व्यक्ति पैराशूट से नीचे उतर रहा है। ||| व्यक्ति पैराशूट उतार रहा है ||| एक व्यक्ति parachute  पर उड़ रहा है। ||| पैराशूट की सहायता से हवा में उड़ता एक व्यक्ति	The parachutist has a bird flying along with him . ||| a man parachutes into the desert . ||| A parachute over some sand . ||| A parachutist lands . ||| A person is hang gliding over a sandy area .	train
2064417101_3b9d817f4a.jpg	तीन कुत्ते तेज गति से दौड़ लगा रहे है और फ़िनिश लाइन के आगे बढ़ रहे है ||| डॉग रेस हो रही है ||| छवि में तीन कुत्ते दौड़ की प्रतिस्पर्धा में दौड़ते दिखाई पड़ रहे हैं ||| तीन कुत्ते racing में दौड़ रहे है ||| दौड़ में भागते कुत्ते.	three dogs run across the track . ||| Three greyhounds reach the finish line . ||| Three dogs racing on a dirt track ||| Three greyhound dogs race around a dark track . ||| A greyhound dog race is happening at the track .	train
2066241589_b80e9f676c.jpg	एक कुत्ता पेड़ की टहनी को अपने जबड़े से चबा रहा है ||| कुत्ता पत्तियों से खेल रहा है ||| एक कुत्ता घाँस पर खड़ा होकर कुछ खा रहा है ||| कुत्ता खेल रहा है ||| कुत्ता देख रा है	A black and brown dog is biting on a stick in the forest . ||| A dark brown dog is chewing on a stick . ||| The brown dog is playing with a stick . ||| A brown dog is chewing on a stick . ||| a brown dog chewing on a large piece of wood .	train
2079554580_f18d5c181b.jpg	कुत्ता जंगल मै चल रहा है ||| एक कुत्ता जंगल में घूम रहा है। ||| जंगल में एक कुत्ता सूखे पत्ते पर खेल रहा है ||| जंगल में सूखे पत्तों के बीच एक कुत्ता दौड़ रहा है। ||| एक चित्तीदार सफेद कुत्ता एक छोटे से जंगल से गुजर रहा है।	A dog runs in the woods . ||| A Dalmatian dog running downhill through leaves in a wooded area . ||| A dalmatian runs through the woods . ||| A dog runs through a very wooded area . ||| The Dalmation is running through the woods .	train
2081679622_6f1442367d.jpg	एक आधा नग्न लड़का सोफे पर कूद रहा है ||| छोटा बच्चा खेल रहा है रहा है ||| बच्चा खेल रहा है। ||| एक छोटा लड़का सोफे पर कूद रहा है। ||| पजामा पहने हुए एक बच्चा जिसने कमर के ऊपर कुछ नहीं पहना है लाल सोफे पर उछल रहा है	a shirtless boy jumps onto the couch . ||| The boy in pajama pants jumps off the sofa . ||| A boy in pajama pants jumps on a red couch . ||| A boy in grey pajamas is jumping on the couch . ||| A boy smiles at the camera and jumps in the air over the couch .	train
2085400856_ae09df33a7.jpg	बर्फ मैं मायूस बैठा कुत्ता ||| एक कुत्ता बर्फ़ में कुछ खोज रहा है । ||| Brown colour का कुता बर्फ में लेटा हुआ है ||| बर्फ की चादर पर एक कुत्ता विश्राम करते हुए। ||| बर्फ पर आराम कर रहा कुत्ता.	A golden dog plays in the snow ||| A red dog crouches in the snow . ||| A dog laying in the snow . ||| A dog in the snow . ||| A dog lays on the snow .	train
2090386465_b6ebb7df2c.jpg	कुछ महिलाएं टहल रही हैं। ||| औरत देख रही है ||| एक बूढ़ी औरत दो अन्य लोगों के आगे एक गंभीर चेहरे के साथ खड़ी है ||| एक महिला गुस्से में आ रही है ||| ek admi aur ek aurat samne dekh rahe hai	A woman and man in winter gear stand . ||| two women bundled up on a snowy day ||| Two people are wearing heavy clothing . ||| Two people in winter clothing . ||| Three adults wearing cold weather gear .	train
